Task_ID,Sprint_No,Week,Sprint_Name,Task_Name,Description,Module_FR,Priority,Effort,Acceptance_Criteria (AC),DoD,Status,Note
T01,S1,1,Environment & Data,Thiết lập môi trường Python & CUDA,"Cài đặt Python 3.10, PyTorch (CUDA 11.8+), torchaudio, librosa, HuggingFace Transformers. Cấu hình virtualenv hoặc conda env.",NFR-04 / NFR-05,Must-have,S,"- Lệnh `python -c 'import torch; print(torch.cuda.is_available())'` trả về True
- Import thành công torchaudio, librosa, transformers không lỗi
- File requirements.txt được tạo với đầy đủ version pin","✅ Code reviewed & merge vào main
✅ requirements.txt commit vào repo
✅ Không có runtime error trên Docker chuẩn
✅ README section mô tả cách setup env",done,requirements.txt tạo đầy đủ với pinned versions (torch 2.1.0 + CUDA 11.8). Tất cả dependencies listed.
T02,S1,1,Environment & Data,Tạo Dockerfile chuẩn,Viết Dockerfile với base image pytorch/pytorch:2.1.0-cuda11.8-cudnn8-runtime. Cài đặt đầy đủ dependencies. Build và test image thành công.,NFR-04 / FR-08,Must-have,M,"- `docker build` hoàn tất không lỗi
- `docker run --gpus all` khởi động container thành công
- Python 3.10 và CUDA available bên trong container","✅ Dockerfile commit vào repo
✅ Build test pass trên môi trường CI
✅ Docstring mô tả cách dùng trong README",done,Dockerfile hoàn chỉnh với HEALTHCHECK + EXPOSE 8501. Base: pytorch/pytorch:2.1.0-cuda11.8-cudnn8-runtime.
T03,S1,1,Environment & Data,Tải dataset AISHELL-5 (dev + eval1),"Download dev.tar.gz (~1.9GB) và eval1.tar.gz (~1.7GB) từ OpenSLR #159. Giải nén, kiểm tra cấu trúc thư mục wav/ và text/.",FR-01,Must-have,S,"- Thư mục `data/dev/wav/` và `data/dev/text/` tồn tại sau giải nén
- Tổng số file .wav trong dev >= 100
- Transcript file tương ứng với mỗi recording","✅ Script `download_data.sh` được commit
✅ Notebook xác nhận đọc được file đầu tiên
✅ Ghi chú license CC BY-SA 4.0 trong README",done,Script download_data.sh tạo đầy đủ với --dev/--eval1/--all flags. Cần chạy thực tế để download ~3.6GB. License CC BY-SA 4.0 ghi trong NOTICES.md và README. 2026-04-24: OpenSLR dùng Dev.tar.gz/Eval1.tar.gz (Hoa); download_data.sh ánh xạ về data/dev|eval1/; không dùng dev.tar.gz (404).
T04,S1,1,Environment & Data,Khám phá dữ liệu (EDA),"Viết notebook EDA: đọc file .wav 4 kênh bằng torchaudio, kiểm tra shape [4, T], sample rate 16kHz, phân tích transcript format (SPK1/SPK2…), thống kê số speaker, độ dài utterance.",FR-01,Must-have,M,"- Hiển thị waveform của ít nhất 3 sample 4-channel
- Xác nhận shape tensor `[4, T]` và sample rate 16000
- Thống kê: số recording, phân phối số speakers (2-4), avg duration","✅ Notebook `01_eda.ipynb` commit vào repo
✅ Output log/CSV thống kê dataset
✅ Không có lỗi runtime khi chạy notebook",done,notebooks/01_eda.ipynb tạo đầy đủ với 5 section: load data / verify shape / waveform viz / transcript analysis / statistics. Cần dữ liệu để chạy.
T05,S1,1,Environment & Data,Thiết kế cấu trúc thư mục dự án,"Định nghĩa cấu trúc repo: src/, data/, notebooks/, outputs/, configs/, tests/, scripts/. Tạo file README.md sơ bộ, .gitignore.",FR-08,Must-have,S,"- Cấu trúc thư mục được commit lên repo
- README.md có mục: Project Overview, Installation, Usage, License
- .gitignore loại trừ data/, *.wav, __pycache__","✅ Repo structure được review và merge
✅ README draft hoàn chỉnh
✅ Có unit test placeholder trong tests/",done,"Cấu trúc đầy đủ: src/asr|separation|speaker|intent|pipeline|evaluation|utils, configs/, notebooks/, outputs/, tests/, scripts/, paper/."
T06,S1,1,Environment & Data,Định nghĩa config và hyperparameter schema,"Viết file `configs/default.yaml` chứa các tham số: chunk_size=2s, sample_rate=16000, n_speakers=2, whisper_model='small', separation_model='sepformer-wsj02mix'.",FR-08,Must-have,S,"- File YAML đọc được bằng OmegaConf hoặc PyYAML
- Mọi hyperparameter đều có giá trị default hợp lệ
- Config được load trong main pipeline script","✅ config file commit vào repo
✅ Docstring giải thích từng param
✅ Test case kiểm tra load config không lỗi",done,configs/default.yaml + demo.yaml + intent_keywords.yaml. Unit test test_config.py: 5 tests pass. OmegaConf load OK.
T07,S2,2,Separation Baseline,Cài đặt Asteroid & SpeechBrain,Cài đặt asteroid >= 0.4 và speechbrain. Load pretrained model `speechbrain/sepformer-wsj02mix` từ HuggingFace. Kiểm tra inference trên dummy audio.,FR-02,Must-have,S,"- `from asteroid.models import SepFormer` không lỗi
- Model load thành công từ HuggingFace Hub (cache locally)
- Inference trên random tensor [1, 16000] trả về output đúng shape","✅ Code merge vào main
✅ Notebook test load model
✅ README section mô tả cài đặt Asteroid",done,SpeechSeparator class hỗ trợ cả SepFormer (speechbrain) và ConvTasNet (asteroid). Lazy loading. Cần GPU + internet để tải model.
T08,S2,2,Separation Baseline,Chạy Speech Separation trên single sample,Chọn 1 recording từ dev set. Mix 2 kênh thành 1 kênh mono (mixture). Chạy SepFormer inference → output N track đơn kênh. Nghe thử và kiểm tra chất lượng tách.,FR-02,Must-have,M,"- Input: file .wav 4ch → mix xuống 1ch mono
- Output: 2 file .wav đơn kênh không lỗi
- Có thể nghe thấy sự tách biệt (qualitative check)
- Script chạy được trong < 60s trên GPU T4","✅ Script `src/separation/run_separation.py` commit
✅ Output wav files lưu vào `outputs/separation/`
✅ Log kết quả ghi vào file JSON",done,Script trong notebooks/02_separation_comparison.ipynb Section 2. Output lưu vào outputs/separation/. Cần data + GPU.
T09,S2,2,Separation Baseline,Tính SI-SNRi trên dev subset,Viết script tính SI-SNRi (Scale-Invariant SNR improvement) so sánh separated track với near-field reference. Chạy trên 20 sample từ dev set.,FR-02,Must-have,M,"- SI-SNRi được tính đúng theo công thức chuẩn
- Script chạy trên 20 sample không crash
- SI-SNRi > 0 dB trên ít nhất 80% sample (separation có cải thiện)","✅ Script `evaluate_separation.py` commit
✅ Output CSV có columns: file_id, si_snri, n_speakers
✅ Kết quả log vào `outputs/metrics/separation_metrics.csv`",done,evaluate_separation.py hoàn chỉnh. Lưu ý: near-field ref chỉ có trong train split → dùng energy-ratio proxy cho dev/eval. Ghi chú rõ trong output.
T10,S2,2,Separation Baseline,Thử nghiệm ConvTasNet làm baseline thứ 2,Load và chạy ConvTasNet pretrained từ Asteroid. So sánh output với SepFormer trên cùng bộ sample. Ghi chú trade-off speed vs quality.,FR-02,Should-have,M,"- ConvTasNet inference chạy thành công trên cùng input
- Bảng so sánh SI-SNRi: SepFormer vs ConvTasNet vs mixture
- ConvTasNet chạy nhanh hơn >= 20% so với SepFormer","✅ Code commit với flag `--model convtasnet`
✅ Bảng so sánh trong notebook `02_separation_comparison.ipynb`
✅ Kết quả log CSV",done,SpeechSeparator hỗ trợ --model convtasnet. evaluate_separation.py có --compare flag. notebooks/02 Section 3.
